IDParticpant,NumeroSequence,TempoAssocie,NoteAssocie
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,1,90,2
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,2,90,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,3,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,4,90,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,5,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,6,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,7,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,8,90,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,9,90,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,10,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,11,90,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,12,90,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,13,90,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,14,90,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,15,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,16,90,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,17,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,18,90,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,19,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,20,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,21,90,3
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,22,90,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,23,90,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,24,90,5
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,25,90,4
1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,26,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,1,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,2,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,3,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,4,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,5,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,6,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,7,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,8,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,9,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,10,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,11,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,12,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,13,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,14,90,2
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,15,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,16,90,3
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,17,90,3
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,18,90,0
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,19,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,20,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,21,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,22,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,23,90,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,24,90,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,25,90,3
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,26,90,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,1,90,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,2,90,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,3,90,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,4,90,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,5,90,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,6,90,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,7,90,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,8,90,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,9,90,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,10,90,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,11,90,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,12,90,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,13,90,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,14,90,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,15,90,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,16,90,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,17,90,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,18,90,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,19,90,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,20,90,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,21,90,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,22,90,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,23,90,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,24,90,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,25,90,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,26,90,5
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,1,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,2,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,3,90,5
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,4,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,5,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,6,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,7,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,8,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,9,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,10,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,11,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,12,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,13,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,14,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,15,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,16,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,17,90,0
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,18,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,19,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,20,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,21,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,22,90,4
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,23,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,24,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,25,90,3
438103bf0e097f647821d56c96e36bc1317c29ea51f901c977e40d42320fec77,26,90,4
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,1,90,1
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,2,90,1
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,3,90,4
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,4,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,5,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,6,90,3
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,7,90,1
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,8,90,3
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,9,90,1
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,10,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,11,90,3
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,12,90,1
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,13,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,14,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,15,90,3
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,16,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,17,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,18,90,4
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,19,90,1
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,20,90,3
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,21,90,5
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,22,90,4
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,23,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,24,90,2
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,25,90,4
4de9ab623a0c0aa3a9a213b79b279d2e7c051d724493efc7c2b65b2e2ae3ba78,26,90,0
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,1,90,4
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,2,90,4
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,3,90,4
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,4,90,0
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,5,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,6,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,7,90,2
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,8,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,9,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,10,90,4
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,11,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,12,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,13,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,14,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,15,90,2
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,16,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,17,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,18,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,19,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,20,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,21,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,22,90,4
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,23,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,24,90,4
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,25,90,3
5d23286057ff52dd4dc3ff5fdd0db22bfc285db78c4fbbf7b90d7b3f6b80e91b,26,90,3
